id;license;rightsHolder;institutionCode;collectionCode;basisOfRecord;occurrenceID;catalogNumber;recordNumber;recordedBy;establishmentMeans;eventDate;year;month;day;collectionCode;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificName;kingdom;phylum;class;order;family;genus;infraspecificEpithet;taxonRank
ccb203c6-ea1d-4093-9664-e05ee1a30613;CC_BY_4_0;;CEN;;occurrence;ccb203c6-ea1d-4093-9664-e05ee1a30613;19533767;;Jos Francisco Montenegro Valls;;1991-05-20T00:00:00Z;1991.0;5.0;20.0;BR;90 Km de Balsas (rio Balsas) e 60 Km de Tasso Fragoso na estrada de Balsas a Alto Parnaba.;-8.47528;-45.7428;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
b2a3153b-62d9-43fd-a1cc-946e9ee3c7ab;CC_BY_4_0;;CEN;;occurrence;b2a3153b-62d9-43fd-a1cc-946e9ee3c7ab;19533788;4266.0;Antnio Costa Allem;;1979-10-04T00:00:00Z;1979.0;10.0;4.0;BR;Fazenda Santa Lcia.;;;;;;;;Vigna lasiocarpa (Benth.) Verdc.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
a097ce16-2eb4-4095-808a-9683f25bfac4;CC_BY_4_0;;CEN;;occurrence;a097ce16-2eb4-4095-808a-9683f25bfac4;19533768;;Ldio Coradin;;1987-08-25T00:00:00Z;1987.0;8.0;25.0;BR;Rodovia Paraty - Angra dos Reis (BR - 101), km 54.;-22.95;-44.46667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
d3e90fe4-fc36-4128-b1b9-5237b7d54561;CC_BY_4_0;;CEN;;occurrence;d3e90fe4-fc36-4128-b1b9-5237b7d54561;19533786;;Jos Francisco Montenegro Valls;;1985-10-11T00:00:00Z;1985.0;10.0;11.0;BR;Beira do rio Paraguai, em Morrinho. Banco de areia 100 m ao sul do sop do morro.;-19.506944;-57.431667;;;;;;Vigna luteola (Jacq.) Benth.;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
421e18aa-63e5-4d18-91f1-c80e33033067;CC_BY_4_0;;CEN;;occurrence;421e18aa-63e5-4d18-91f1-c80e33033067;19533740;;Glocimar Pereira-Silva;;2008-04-20T00:00:00Z;2008.0;4.0;20.0;BR;Estrada Babaulndia - Filadfia, km 2.;-7.220555;-47.763333;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
a9d50ea1-c1ef-4777-8748-e12795d2137b;CC_BY_4_0;;CEN;;occurrence;a9d50ea1-c1ef-4777-8748-e12795d2137b;19534781;27701.0;Bruno Machado Teles Walter;;1996-02-07T00:00:00Z;1996.0;2.0;7.0;BR;Estrada de terra da BR - 153 passando pela vila gua Branca, para a fazenda Porteira Grande, cerca de 6 km aps a sede da fazenda.;-14.390555;-49.003888;;;;;;Xanthosoma striatipes (Kunth) Madison;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Xanthosoma;;SPECIES
5d8e3f55-3492-43d2-b1c0-37c6ed16274b;CC_BY_4_0;;CEN;;occurrence;5d8e3f55-3492-43d2-b1c0-37c6ed16274b;19533741;;Glocimar Pereira-Silva;;2008-04-23T00:00:00Z;2008.0;4.0;23.0;BR;Rio Canabrava.;-7.281111;-47.722777;;;;;;Vigna adenantha (E.Mey.) Maréchal, Mascherpa & Stainier;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;SPECIES
6a0b9359-d16f-4d6f-9c77-eecc288d6c71;CC_BY_4_0;;CEN;;occurrence;6a0b9359-d16f-4d6f-9c77-eecc288d6c71;19533772;;Ldio Coradin;;1983-06-30T00:00:00Z;1983.0;6.0;30.0;BR;Estrada Xique Xique - Santo Incio km 29.;-11.08333;-42.71667;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
f68fdc5c-a3c0-4f3f-9e6a-493c65278fea;CC_BY_4_0;;CEN;;occurrence;f68fdc5c-a3c0-4f3f-9e6a-493c65278fea;19533779;;Ldio Coradin;;1981-08-24T00:00:00Z;1981.0;8.0;24.0;BR;Barra da Estiva - sada para Itua km 12.;-13.73333;-41.3;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
32420974-f6cc-4195-8712-4b5bbd92bb14;CC_BY_4_0;;CEN;;occurrence;32420974-f6cc-4195-8712-4b5bbd92bb14;19533775;;Luciano de Bem Bianchetti;;1988-05-19T00:00:00Z;1988.0;5.0;19.0;BR;28,1 km de Pimenteiras. Estrada Pimenteiras - Valena do Piau.;-6.2;-41.65;;;;;;Vigna Savi;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Vigna;;GENUS
